0,Pron,toolkit_pron
blease,bliz,bliz
blease,blis,blis
blynch,blɪntʃ,bl1nC
blynch,blaɪntʃ,bl5nC
brask,bɹæsk,br@sk
brask,bɹɑsk,brask
buke,bjuk,bjuk
buke,buk,buk
cebb,sɛb,sEb
cebb,kɛb,kEb
celk,sɛlk,sElk
celk,kɛlk,kElk
cerm,sɚɹm,s3rm
cerm,kɚɹm,k3rm
cilth,sɪlθ,s1lT
cilth,kɪlθ,k1lT
crusque,kɹusk,krusk
crusque,kɹʌsk,kr^sk
drose,dɹoʊz,droz
drose,dɹoʊs,dros
dwalp,dwɔlp,dwclp
dwalp,dwælp,dw@lp
dwarb,dwɑɹb,dwarb
dwarb,dwɔɹb,dwcrb
dweke,dwik,dwik
dweke,dwɛk,dwEk
fasp,fæsp,f@sp
fasp,fɑsp,fasp
fles,flɛs,flEs
fles,flɛz,flEz
geve,giv,giv
geve,dʒiv,Giv
glask,glæsk,gl@sk
glask,glɑsk,glask
glauk,glɔk,glck
glauk,glaʊk,glOk
gwarn,gwɑɹn,gwarn
gwarn,gwɔɹn,gwcrn
lasp,læsp,l@sp
lasp,lɑsp,lasp
oosh,uʃ,uS
oosh,ʊʃ,US
rhete,ɹit,rit
rhete,ɹɛt,rEt
scralk,skɹɔlk,skrclk
scralk,skɹælk,skr@lk
scrose,skɹoʊz,skroz
scrose,skɹoʊs,skros
scrym,skɹɪm,skr1m
scrym,skɹaɪm,skr5m
showth,ʃoʊθ,SoT
showth,ʃaʊθ,SOT
shrirr,ʃɹɪɹ,Sr1r
shrirr,ʃɹɚɹ,Sr3r
skube,skub,skub
skube,skjub,skjub
smeke,smik,smik
smeke,smɛk,smEk
snowl,snaʊl,snOl
snowl,snoʊl,snol
sprauk,spɹɔk,sprck
sprauk,spɹaʊk,sprOk
spube,spub,spub
spube,spjub,spjub
strook,stɹuk,struk
strook,stɹʊk,strUk
strow,stɹoʊ,stro
strow,stɹaʊ,strO
stuke,stuk,stuk
stuke,stjuk,stjuk
throuse,θɹaʊs,TrOs
throuse,θɹaʊz,TrOz
thuse,θuz,Tuz
thuse,θus,Tus
thwown,θwoʊn,Twon
thwown,θwaʊn,TwOn
veese,vis,vis
veese,viz,viz
zook,zuk,zuk
zook,zʊk,zUk
